Outlet_ID,Latitude,Longitude,is_land,nearest_land_outlet_km,category
OUT_17115,5.90163,80.205629,False,12.701,likely_ocean_outlier
OUT_17076,5.903335,80.205158,False,12.549,likely_ocean_outlier
OUT_19247,5.910261,80.202027,False,11.965,likely_ocean_outlier
OUT_19867,5.903344,80.219128,False,11.744,likely_ocean_outlier
OUT_19451,5.911747,80.204121,False,11.722,likely_ocean_outlier
OUT_19438,5.908855,80.220373,False,11.144,likely_ocean_outlier
OUT_18689,5.905565,80.228647,False,11.04,likely_ocean_outlier
OUT_18431,5.907822,80.224656,False,11.014,likely_ocean_outlier
OUT_18567,5.908615,80.22514,False,10.911,likely_ocean_outlier
OUT_17097,5.906857,80.22875,False,10.906,likely_ocean_outlier
OUT_19328,5.9011,80.258505,False,10.574,likely_ocean_outlier
OUT_17273,5.918367,80.215966,False,10.521,likely_ocean_outlier
OUT_18478,5.906086,80.243548,False,10.388,likely_ocean_outlier
OUT_19428,5.906584,80.242677,False,10.364,likely_ocean_outlier
OUT_06536,6.709404,79.801829,False,10.362,likely_ocean_outlier
OUT_19426,5.919124,80.218834,False,10.27,likely_ocean_outlier
OUT_17717,5.900141,80.289806,False,10.255,likely_ocean_outlier
OUT_17081,5.916963,80.222675,False,10.24,likely_ocean_outlier
OUT_19894,5.902314,80.284201,False,10.183,likely_ocean_outlier
OUT_19415,5.919871,80.219205,False,10.178,likely_ocean_outlier
OUT_02105,6.724136,79.800307,False,10.13,likely_ocean_outlier
OUT_08075,6.700504,79.807607,False,10.094,likely_ocean_outlier
OUT_08158,6.714062,79.803107,False,10.09,likely_ocean_outlier
OUT_19392,5.900192,80.294448,False,10.079,likely_ocean_outlier
OUT_17278,5.904988,80.265337,False,10.068,likely_ocean_outlier
OUT_00692,6.707871,79.805145,False,10.063,likely_ocean_outlier
OUT_00004,6.703533,79.806919,False,10.039,likely_ocean_outlier
OUT_01426,6.706705,79.805834,False,10.031,likely_ocean_outlier
OUT_19152,5.906944,80.254901,False,9.995,likely_ocean_outlier
OUT_17706,5.909548,80.245505,False,9.957,likely_ocean_outlier
OUT_18459,5.906301,80.263207,False,9.941,likely_ocean_outlier
OUT_19882,5.929532,80.205421,False,9.863,likely_ocean_outlier
OUT_18789,5.905875,80.287595,False,9.757,likely_ocean_outlier
OUT_08724,6.717125,79.805694,False,9.735,likely_ocean_outlier
OUT_04913,6.720021,79.805209,False,9.724,likely_ocean_outlier
OUT_07084,6.707406,79.808794,False,9.697,likely_ocean_outlier
OUT_19375,5.91098,80.250478,False,9.659,likely_ocean_outlier
OUT_19824,5.901554,80.303998,False,9.654,likely_ocean_outlier
OUT_06254,6.725806,79.804793,False,9.619,likely_ocean_outlier
OUT_18159,5.93496,80.200885,False,9.573,likely_ocean_outlier
OUT_17406,5.91069,80.271145,False,9.413,likely_ocean_outlier
OUT_17663,5.909535,80.288003,False,9.365,likely_ocean_outlier
OUT_05974,6.717313,79.809131,False,9.36,likely_ocean_outlier
OUT_18453,5.912882,80.255298,False,9.338,likely_ocean_outlier
OUT_06256,6.706728,79.812789,False,9.307,likely_ocean_outlier
OUT_19826,5.92661,80.2235,False,9.292,likely_ocean_outlier
OUT_05874,6.721915,79.808885,False,9.287,likely_ocean_outlier
OUT_19117,5.915766,80.24588,False,9.284,likely_ocean_outlier
OUT_19992,5.925828,80.224967,False,9.273,likely_ocean_outlier
OUT_03948,6.737793,79.801009,False,9.27,likely_ocean_outlier
OUT_07072,6.70567,79.813825,False,9.242,likely_ocean_outlier
OUT_19402,5.921992,80.232019,False,9.24,likely_ocean_outlier
OUT_06030,6.720347,79.809895,False,9.208,likely_ocean_outlier
OUT_01915,6.71271,79.811823,False,9.2,likely_ocean_outlier
OUT_19998,5.901855,80.31888,False,9.157,likely_ocean_outlier
OUT_00706,6.725995,79.809523,False,9.153,likely_ocean_outlier
OUT_19838,5.902627,80.317603,False,9.127,likely_ocean_outlier
OUT_01911,6.741175,79.80081,False,9.121,likely_ocean_outlier
OUT_01889,6.72836,79.808843,False,9.091,likely_ocean_outlier
