Outlet_ID,Outlet_Type,Outlet_Size,Province,poi_tier,peer_q90,peer_n,fallback_level
OUT_00001,Grocery,Medium,Western,3,294.8584251607772,2668,L0
OUT_00002,Hotel,Small,Western,1,105.7683721077616,2404,L0
OUT_00003,Pharmacy,Small,Western,0,98.86528992231557,2587,L0
OUT_00004,Pharmacy,Medium,Western,0,302.8975363010441,2339,L0
OUT_00005,Kiosk,Medium,Western,2,253.22415984816314,2207,L0
OUT_00006,Kiosk,Medium,Western,1,272.3210997714459,2276,L0
OUT_00007,Hotel,Large,Western,0,743.0795212173583,1313,L0
OUT_00008,Eatery,Extra Large,Western,0,1849.675977054696,442,L0
OUT_00009,Hotel,Medium,Western,1,255.71871602931222,2342,L0
OUT_00010,Eatery,Small,Western,3,105.62560626626174,2764,L0
OUT_00011,Grocery,Small,Western,1,96.30218879755408,2612,L0
OUT_00012,Pharmacy,Medium,Western,0,302.8975363010441,2339,L0
OUT_00013,Hotel,Small,Western,2,107.12275589004915,2618,L0
OUT_00014,Grocery,Small,Western,2,115.98463586163308,3179,L0
OUT_00015,Bakery,Small,Western,0,99.63651328542714,2877,L0
OUT_00016,Eatery,Medium,Western,0,257.9037019162598,3141,L0
OUT_00017,Eatery,Large,Western,3,771.2413030655877,1284,L0
OUT_00018,Pharmacy,Small,Western,1,305.45866447224563,2742,L0
OUT_00019,Grocery,Extra Large,Western,2,1849.8563293125153,566,L0
OUT_00020,SMMT,Small,Western,1,99.79187353034966,2497,L0
OUT_00021,Kiosk,Small,Western,1,231.26468227177224,2454,L0
OUT_00022,Bakery,Small,Western,0,99.63651328542714,2877,L0
OUT_00023,Eatery,Small,Western,2,99.81554763167813,2480,L0
OUT_00024,Eatery,Large,Western,0,782.8188809876915,1395,L0
OUT_00026,Grocery,Medium,Western,3,294.8584251607772,2668,L0
OUT_00027,Pharmacy,small,Western,0,475.29701984526963,151,L0
OUT_00028,Grocery,Small,Western,0,125.77374379158293,3412,L0
OUT_00029,SMMT,small,Western,3,568.0952923851607,228,L0
OUT_00031,Bakery,Small,Western,1,116.49282721224857,2207,L0
OUT_00032,SMMT,Extra Large,Western,3,1831.4553968954392,611,L0
OUT_00033,Hotel,Small,Western,2,107.12275589004915,2618,L0
OUT_00034,Grocery,Large,Western,1,786.3722516348122,1292,L0
OUT_00035,Bakery,Large,Western,0,799.393375643837,1420,L0
OUT_00036,Kiosk,Small,Western,2,110.26983602551694,2583,L0
OUT_00037,Bakery,Large,Western,0,799.393375643837,1420,L0
OUT_00038,Bakery,Medium,Western,0,252.5872251491754,2582,L0
OUT_00039,Eatery,Medium,Western,1,291.36719136044974,2284,L0
OUT_00040,SMMT,Large,Western,3,794.9248022296135,1681,L0
OUT_00041,Grocery,Large,Western,0,782.9609910473466,1333,L0
OUT_00042,Bakry,Medium,Western,1,256.80402944791945,394,L0
OUT_00043,Eatery,Small,Western,2,99.81554763167813,2480,L0
OUT_00044,Grocery,Small,Western,3,105.98841597825516,2722,L0
OUT_00045,Grocery,Medium,Western,1,244.98118293756013,2712,L0
OUT_00046,Pharmacy,Small,Western,0,98.86528992231557,2587,L0
OUT_00047,Grocery,Small,Western,2,115.98463586163308,3179,L0
OUT_00048,Kiosk,Small,Western,2,110.26983602551694,2583,L0
OUT_00049,Hotel,small,Western,1,639.8214854202431,185,L0
OUT_00050,Grocery,Extra Large,Western,1,1876.633046669733,371,L0
OUT_00051,SMMT,Small,Western,3,101.16012119135121,2785,L0
OUT_00052,Pharmacy,Medium,Western,2,353.68989257367156,1868,L0
OUT_00053,SMMT,small,Western,1,580.5187188974749,136,L0
OUT_00054,Grocery,Small,Western,2,115.98463586163308,3179,L0
